objectid,title,date,date-is-approximate,creator,description,item_information,subject,location,latitude,longitude,related_publication,publisher_digital,,source,findingaid,,original-identifier,rights,rights statement,type,format,language,BookCode,BookNum,BPageNum,TotalPages,GRANTEES,GRANTORS,DATE,relation,filename,identifier,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
1786000003,"KAY, JOHN granted to GATEWOOD, ANDREW; GATEWOOD, MARGARET",1786-11-01,,,87 AND 1/2 ACRES BRANCH OF ELKHORN WOLFRUN,pp. 237-239,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1786000003.pdf,,record,,,,,
1787000001,"PAYNE, EDWARD granted to TIBBS, DANIEL",1787-02-13,,,TRACT OF LAND STEELS RUN,pp. 51-54,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1787000001.pdf,,record,,,,,
1787000002,"SMITH, ELIJAH granted to CARSNER, CASPER; KARSNER, CASPER",1787-04-12,,,11 2/3 POLES OUT LOT 1 HIGH ST,pp. 107-108,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1787000002.pdf,,record,,,,,
1787000003,"SMITH, WILLIAM granted to CRAIG, LEWIS; CRAIG, ELIZABETH",1787-07-12,,,512 ACRES MCCONNELLS RUN NORTH ELKHORN,pp. 127-129,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1787000003.pdf,,record,,,,,
1787000004,"FERGUSON, ABRAHAM granted to CRAIG, ELIJAH",1787-09-11,,,200 ACRES WATERS OF ELKHORN,pp. 141-143,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1787000004.pdf,,record,,,,,
1787000005,"FERGUSON, ABRAHAM granted to CRAIG, ELIJAH; CRAIG, FRANCES",1787-09-11,,,210 ACRES WATERS OF ELKHORN,pp. 143-145,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1787000005.pdf,,record,,,,,
1787000006,"HUNT, GEORGE granted to TODD, ROBERT; TODD, ANN",1803-06-21,,,147 AND 1/2 ACRES WATERS OF HICKMAN CREEK,pp. 144-146,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1787000006.pdf,,record,,,,,
1787000007,"ELLIOTT, WILLIAM granted to GALLISPIE, WILLIAM; GILLISPIE, WILLIAM",1787-11-01,,,907 ACRES BOGGS FORK OF BOONES CREEK; OTHER PROPERTIES,pp. 187-191,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1787000007.pdf,,record,,,,,
1787000008,"MCCLAIN JR, DANIEL; MCCLAIN, JOHN granted to MORRISON, JOHN; MORRISON, MARTHA",1787-07-12,,,300 ACRES WATERS OF N FORK OF ELKHORN CREEK,pp. 235-237,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1787000008.pdf,,record,,,,,
1787000009,"TRABUE, EDWARD granted to HUMPHREY, MARSHALL",1787-07-10,,,250 ACRES KY RIVER,pp. 250-253,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1787000009.pdf,,record,,,,,
1787000010,"PATTERSON, JOHN granted to LOGAN, JOHN",1787-06-12,,,215 ACRES CANE RUN,pp. 270-272,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1787000010.pdf,,record,,,,,
1788000001,"SMITH, ALEXANDER granted to MCCONNELL, JAMES ; MCCONNELL, MARY",1788-06-10,,,200 ACRES TRACT OF LAND,pp. 28-29,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1788000001.pdf,,record,,,,,
1788000002,"PAYNE, HENRY granted to LEWIS, THOMAS",1788-12-01,,,AGREEMENT OF DIVISION OF LAND ELKHORN CREEK,pp. 78-79,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1788000002.pdf,,record,,,,,
1788000003,"LAMME, WILLIAM granted to CRAIG, BENJAMIN; CRAIG, NANCY",1788-06-10,,,523 ACRES,pp. 84-87,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1788000003.pdf,,record,,,,,
1788000004,"PRICE, JOHN  granted to HAYS, WILLIAM; HAYS, SUSANNAH",1788-06-01,,,300 ACRES MARBLE AND HICKMAN CREEJ,pp. 87-89,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1788000004.pdf,,record,,,,,
1788000005,"HAYDON, SAMUEL granted to MCGEE, DAVID M; MCGEE, JANE",1788-12-01,,,120 ACRES BET BOONES AND HOWARDS CREEK,pp. 93-96,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1788000005.pdf,,record,,,,,
1788000006,"MCKINNY, DAVID; WALLACE, ROBERT granted to CRAIG, LEWIS; CRAIG, JOHN",1788-07-01,,,490 ACRES WATERS OF ELKHORN,pp. 239-241,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1788000006.pdf,,record,,,,,
1788000007,"COLLINS, BARTLETT granted to LOWRY, STEPHEN; LOWRY, CATHRINE",1788-07-01,,,200 ACRES CANE RUN,pp. 253-255,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1788000007.pdf,,record,,,,,
1788000008,"LEWIS, THOMAS granted to WEST, THOMAS; WEST, MARGERY",1788-09-09,,,LOT NO. 77 CORNER HIGH AND SPRING STS,pp. 265-268,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1788000008.pdf,,record,,,,,
1788000009,"CALDWELL, MATTHEW granted to GRANT, WILLIAM; GRANT, ELIZABETH",1788-09-09,,,400 ACRES WATERS OF N FORK OF ELKHORN,pp. 292-294,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1788000009.pdf,,record,,,,,
1788000010,"GRAVES, THOMAS granted to CRAIG, JOHN; CRAIG, SARAH; CRAIG, ELIJAH; CRAIG, FRANCES",1788-09-01,,,300 ACRES CANE RUN,pp. 344-346,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1788000010.pdf,,record,,,,,
1788000011,"BEALL, ARCHIBALD; BEALL, MILLEY granted to CREWS, DAVID; CREWS, ANNA",1788-06-10,,,200 ACRES KENTUCKY RIVER,pp. 346-348,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1788000011.pdf,,record,,,,,
1788000012,"NEAL, CHARLES; NEALE, CHARLES granted to GATEWOOD, ANDREW; GATEWOOD, MARGARET",1788-11-03,,,100 ACRES S. ELKHORN,pp. 347-349,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1788000012.pdf,,record,,,,,
1788000013,"GRAY, RICHARD granted to GATEWOOD, ANDREW; GATEWOOD, MARGARET",1788-11-03,,,100 ACRES S. ELLKHORN,pp. 351-353,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1788000013.pdf,,record,,,,,
1788000014,"MCCANN, NEAL granted to CRAIG, JOHN",1788-07-21,,,CERTIFICATE OF DEED FOR TRACT OF LAND,pp. 438-439,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1788000014.pdf,,record,,,,,
1789000001,"KENNEDY, THOMAS granted to TRUSTEES OF THE TOWN OF LEXINGTON, ",1789-04-01,,,40 POLES CROSS ST 2ND ST LOT E,pp. 21-23,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1789000001.pdf,,record,,,,,
1789000002,"SMITH, WILLIAM granted to CRAIG, BENJAMIN; CRAIG, ANN",1789-03-10,,,220 ACRES DAVIDS FORK OF ELKHORN,pp. 128-131,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1789000002.pdf,,record,,,,,
1789000003,"SMITH, WILLIAM granted to CRAIG, ELIJAH; CRAIG, FRANCES",1789-03-10,,,230 ACRES WATERS OF DAVIDS FORK OF ELKHORN,pp. 130-132,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1789000003.pdf,,record,,,,,
1789000004,"FERGUSON, ABRAHAM granted to CRAIG, BENJAMIN; CRAIG, ANN",1789-03-10,,,40 ACRES DAVIDS FORK OF ELKHORN,pp. 140-142,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1789000004.pdf,,record,,,,,
1789000005,"KENT, DAVID granted to LEWIS, JOHN",1789-03-06,,,230 ACRES HICKMANS CREEK,pp. 274-276,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1789000005.pdf,,record,,,,,
1789000006,"QUISENBERRY, JOHN granted to TRIBBLE, ANDREW; TRIBBLE, SARAH",1789-11-10,,,100 ACRES TWO MILE CREEK,pp. 376-378,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1789000006.pdf,,record,,,,,
1789000007,"STONE, WILLIAM granted to VANCE, JOHN; VANCE, HANNAH",1789-06-08,,,300 ACRES S. ELKHORN,pp. 389-391,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1789000007.pdf,,record,,,,,
1789000008,"STONE, WILLIAM; HOLLYMAN, MARY; NEALE, ANN; GRAY, CATHERINE; STONE, JOHN granted to STONE, WILLIAM",1793-03-01,,,BILL OF SALE; SLAVES; PERSONALTY,pp. 390-393,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1789000008.pdf,,record,,,,,
1789000009,"PETER JANUARY & SON,  granted to WALKER, MATTHEW; WALKER, ANN",1789-09-01,,,IN LOT 16 & OUT LOT 1 TOWN OF LEXINGTON,pp. 418-420,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1789000009.pdf,,record,,,,,
1790000001,"WEBB, CHARLES  granted to ASHBY, BENJAMIN; ASHBY, JANE ",1790-06-01,,,300 ACRES N ELKHORN,pp. 39-42,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1790000001.pdf,,record,,,,,
1790000003,"MONTGOMERY, ALEXANDER granted to ROBINSON, DAVID",1790-04-01,,,400 ACRES BOONES CREEK,pp. 98-100,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1790000003.pdf,,record,,,,,
1790000004,"WELLS, ISAAC granted to CRAIG, LEWIS; CRAIG, ELIZABETH",1790-06-08,,,100 ACRES WATERS OF ELKHORN,pp. 145-149,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1790000004.pdf,,record,,,,,
1790000005,"FERGUSON, BRYANT granted to CAMPBELL, JOHN",1790-12-01,,,95 ACRES HICKMAN CREEK,pp. 195-197,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1790000005.pdf,,record,,,,,
1790000006,"KAY, JOHN granted to GATEWOOD, ANDREW; GATEWOOD, MARGARET",1790-03-01,,,172 ACRES WATERS OF S ELKHORN,pp. 241-244,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1790000006.pdf,,record,,,,,
1790000007,"ALEXANDER, WILLIAM granted to CLARKE, JOHN; CLARKE, ELIZABETH",1790-09-01,,,15 ACRES FAYETTE COUNTY,pp. 293-296,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1790000007.pdf,,record,,,,,
1790000008,"CASTLE, MARTIN granted to GATEWOOD, ANDREW; GATEWOOD, MARGARET",1790-03-01,,,268 ACRES S. ELKHORN,pp. 399-401,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1790000008.pdf,,record,,,,,
1790000009,"HANCOCK, JOHN granted to CRAIG, JOHN; CRAIG, SARAH; CRAIG, ELIJAH; CRAIG, FRANCES",1790-03-01,,,100 ACRES CANE RUN,pp. 401-403,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1790000009.pdf,,record,,,,,
1790000010,"JANUARY, PETER granted to PATTERSON, ROBERT; BLAIR, SAMUEL; COBURN, JOHN; BARR, JAMES; PARKER, JAMES; MCMILLIN, SAMUEL",1790-01-01,,,"OUT LOTS NO. 2, 3, AND 4 BETWEEN 2ND AND 3RD STS.",pp. 420-423,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1790000010.pdf,,record,,,,,
1791000001,"MASTERSON, JAMES  granted to TODD, JOHN; WILKINSON, JAMES ; MARSHALL, THOMAS; COBURN, JOHN; MARSHALL, T.; MARSHALL, THOS.",1791-03-01,,,100 ACRES ADJ E LEX,pp. 5-7,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1791000001.pdf,,record,,,,,
1791000002,"ASHBY, JANE  granted to WARE, JAMES; WEBB, CHARLES ; CORDELL, JOHN",1791-05-01,,,POWER OF DOWER ACKNOWLEDGMENT,pp. 42-44,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1791000002.pdf,,record,,,,,
1791000004,"PRICE, JOHN granted to YOUNG, WILLIAM; HAYS, WILLIAM",1791-12-01,,,5 1/2 ACRES WATER OF HICKMAN; 13 ACRES WATER OF HICKMAN,pp. 89-91,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1791000004.pdf,,record,,,,,
1791000005,"TODD, LEVI granted to TODD, HANNAH",1791-08-01,,,1/2 OUT LOT 17 MAIN & HIGH ST,pp. 108-110,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1791000005.pdf,,record,,,,,
1791000006,"TODD, ROBERT  granted to TODD, LEVI",1791-07-01,,,1/2 LOT 17 MAIN & HI,pp. 109-111,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1791000006.pdf,,record,,,,,
1791000007,"TODD, LEVI granted to TODD, ROBERT",1791-07-01,,,1/2 LOT 17 MAIN & HI,pp. 109-111,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1791000007.pdf,,record,,,,,
1791000008,"PAYNE, EDWARD granted to MCCONNELL, WILLIAM; MCCONNELL, ELIZABETH",1791-06-01,,,TRACT OF LAND WATERS OF TOWN FORK OF ELKHOWN,pp. 153-155,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1791000008.pdf,,record,,,,,
1791000009,"GIBSON, WILLIAM granted to POAGE, THOMAS; POAGUE, THOMAS; POAGE, AGNESS; POAGUE, AGNESS",1791-12-01,,,200 ACRES HICKMAN'S CREEK,pp. 269-271,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1791000009.pdf,,record,,,,,
